MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID
2024 / 10,Bronx,10,707.2,62.3,78,5,8.5,,,2
2024 / 10,Bronx,11,838.7,59.6,76.6,1,15.3,,,2
2024 / 10,Brooklyn,15,1122.9,118,114.2,25.9,22.7,,,3
2024 / 10,Manhattan,8,1375.5,240.3,165.8,0,,,,1
2024 / 10,Bronx,4,974.8,50.6,73.2,0.1,11.3,,,2
2024 / 10,Manhattan,10,691.3,59.4,61.3,1,,,,1
2024 / 10,Bronx,2,401.9,20.4,29.2,,,,,2
2024 / 10,Manhattan,5,318.7,63.3,38.2,,,,,1
2024 / 10,Bronx,9,902.5,47.1,78.2,0.5,,,,2
2024 / 10,Brooklyn,12,1874.8,165.5,79.8,15.7,,,,3
2024 / 10,Brooklyn,3,1192.9,100.3,77.7,19.2,12.7,,,3
2024 / 10,Queens,5,1282.1,138,156.5,16.4,19.1,,,4
2024 / 10,Bronx,1,570.6,29.1,29.1,0.3,14.4,,,2
2024 / 10,Brooklyn,6,590.8,112.9,94.6,28.4,12.1,,,3
2024 / 10,Brooklyn,8,664.2,72.1,74.9,10.8,10,,,3
2024 / 10,Bronx,8,573.7,61.8,78.5,10.2,,,,2
2024 / 10,Manhattan,12,1071.6,88.5,103.1,1,9,,,1
2024 / 10,Manhattan,2,464.5,92.3,64.2,1,4.8,,,1
2024 / 10,Brooklyn,1,1680.6,162.7,97,10,7.8,,,3
2024 / 10,Manhattan,4,604.4,107.6,77.3,,,,,1
2024 / 10,Queens,14,723,49.7,53.5,14.2,,,,4
2024 / 10,Brooklyn,2,795.3,133.3,95.8,17.2,10.2,,,3
2024 / 10,Brooklyn,17,1063.7,63,94,17,7.4,,,3
2024 / 10,Brooklyn,5,1205.9,54.9,93.9,5.5,,,,3
2024 / 10,Bronx,6,583.7,29.8,39.7,,8,,,2
2024 / 10,Staten Island,2,1086,114.1,119.1,26.4,4.9,,,5
2024 / 10,Brooklyn,4,925,59.2,82.3,15.7,13.9,,,3
2024 / 10,Queens,11,704,89,92.2,21.2,15.4,,,4
2024 / 10,Queens,6,752.7,92.6,91.2,16.2,,,,4
2024 / 10,Bronx,3,540.8,28.3,32.6,,18.9,,,2
